,t_ex,h_sr
2020/12/15 0:00,2.4,0
2020/12/15 1:00,2.3,0
2020/12/15 2:00,2.1,0
2020/12/15 3:00,2,0
2020/12/15 4:00,1.8,0
2020/12/15 5:00,1.1,0
2020/12/15 6:00,0,0
2020/12/15 7:00,1,0
2020/12/15 8:00,1.6,30.55555556
2020/12/15 9:00,3.4,205.5555556
2020/12/15 10:00,4.6,372.2222222
2020/12/15 11:00,6.6,488.8888889
2020/12/15 12:00,7.5,402.7777778
2020/12/15 13:00,7.9,341.6666667
2020/12/15 14:00,7,269.4444444
2020/12/15 15:00,6.3,283.3333333
2020/12/15 16:00,4.7,113.8888889
2020/12/15 17:00,3.7,38.88888889
2020/12/15 18:00,3.1,0
2020/12/15 19:00,2.2,0
2020/12/15 20:00,1.9,0
2020/12/15 21:00,1.4,0
2020/12/15 22:00,1.1,0
2020/12/15 23:00,0.4,0
2020/12/16 0:00,0.3,0
2020/12/16 1:00,-0.8,0
2020/12/16 2:00,-1.1,0
2020/12/16 3:00,-0.1,0
2020/12/16 4:00,-0.4,0
2020/12/16 5:00,-0.4,0
2020/12/16 6:00,-0.5,0
2020/12/16 7:00,-0.3,0
2020/12/16 8:00,0.7,44.44444444
2020/12/16 9:00,2.4,200
2020/12/16 10:00,4,311.1111111
2020/12/16 11:00,5.3,330.5555556
2020/12/16 12:00,6.2,394.4444444
2020/12/16 13:00,6.5,305.5555556
2020/12/16 14:00,7.3,361.1111111
2020/12/16 15:00,4.4,155.5555556
2020/12/16 16:00,3.8,66.66666667
2020/12/16 17:00,2.8,22.22222222
2020/12/16 18:00,2.2,0
2020/12/16 19:00,2.2,0
2020/12/16 20:00,1.7,0
2020/12/16 21:00,1.3,0
2020/12/16 22:00,0.9,0
2020/12/16 23:00,0.1,0
2020/12/17 0:00,-0.2,0
2020/12/17 1:00,0,0
2020/12/17 2:00,-0.7,0
2020/12/17 3:00,-0.6,0
2020/12/17 4:00,-0.7,0
2020/12/17 5:00,-0.6,0
2020/12/17 6:00,-1.3,0
2020/12/17 7:00,-1,0
2020/12/17 8:00,-0.2,36.11111111
2020/12/17 9:00,2.4,197.2222222
2020/12/17 10:00,4.7,363.8888889
2020/12/17 11:00,6.7,475
2020/12/17 12:00,5.9,572.2222222
2020/12/17 13:00,7.6,555.5555556
2020/12/17 14:00,7.5,327.7777778
2020/12/17 15:00,7.5,125
2020/12/17 16:00,7.4,83.33333333
2020/12/17 17:00,6.2,30.55555556
2020/12/17 18:00,5,0
2020/12/17 19:00,4.2,0
2020/12/17 20:00,3.2,0
2020/12/17 21:00,2.2,0
2020/12/17 22:00,1.6,0
2020/12/17 23:00,0.9,0
2020/12/18 0:00,1.1,0
